,thscode,bondfundtype20230630,bondfundtype20221231,bondfundtype20220630,bondfundtype20211231,bondfundtype20210630,bondfundtype20201231,bondtype
299,005684.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
300,005703.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
301,005710.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
302,005712.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
303,005719.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
304,005740.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
305,005754.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
306,005772.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
307,005781.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
308,005782.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
309,005784.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
310,005791.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
311,005820.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
312,005831.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
313,005841.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
314,005845.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
315,005853.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
316,005854.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
317,005864.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
318,005871.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
319,005879.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
320,005897.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
321,005898.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
322,005920.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
323,005921.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
324,005936.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
325,005972.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
326,005988.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
327,006029.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
328,006037.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
329,006043.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
330,006053.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
331,006066.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
332,006076.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
333,006107.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
334,006112.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
335,006150.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
336,006171.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
337,006172.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
338,006212.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
339,006275.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
340,006360.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
341,006367.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
342,006393.OF,信用债,信用债,信用债,信用债,信用债,信用债,稳定信用债
