,thscode,ths_fund_code_fund,ths_fund_short_name_fund,ths_fund_supervisor_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,ths_mergesize_fund,ACEtype,Fundtype
2253,006963.OF,006963,中加颐瑾定开债券A,中加基金,王霈,中长期纯债券型基金,2009412373.99,A,纯债基金
2255,006965.OF,006965,财通安瑞短债债券A,财通基金,"罗晓倩,闫梦璇",短期纯债券型基金,16835189752.67,A,纯债基金
2257,006970.OF,006970,广发景利纯债,广发基金,赵子良,中长期纯债券型基金,508535751.76,,纯债基金
2263,006984.OF,006984,兴全恒瑞定开债券发起式,兴证全球基金,"张睿,季伟杰",中长期纯债券型基金,5025655970.270001,,纯债基金
2264,006985.OF,006985,兴全恒裕债券A,兴证全球基金,王帅,混合债券型基金(一级),10940142102.42,A,纯债基金
2265,006986.OF,006986,平安季添盈定开债A,平安基金,欧阳亮,中长期纯债券型基金,1467193778.21,A,纯债基金
2272,006995.OF,006995,南方惠利6个月定开债券A,南方基金,金凌志,中长期纯债券型基金,3335755637.22,A,纯债基金
2275,006998.OF,006998,广发景兴中短债A,广发基金,宋倩倩,短期纯债券型基金,3688707408.53,A,纯债基金
2285,007017.OF,007017,平安如意中短债A,平安基金,"张文平,张璐",短期纯债券型基金,17951536373.46,A,纯债基金
2301,007050.OF,007050,鑫元恒利三个月定期开放债券,鑫元基金,郭卉,中长期纯债券型基金,1727384008.52,,纯债基金
2302,007053.OF,007053,平安季开鑫定开债A,平安基金,张文平,中长期纯债券型基金,5192641642.98,A,纯债基金
2307,007061.OF,007061,中加聚盈定开债券A,中加基金,闫沛贤,混合债券型基金(一级),936141070.5,A,纯债基金
2311,007068.OF,007068,浦银安盛普丰纯债债券A,浦银安盛基金,章潇枫,中长期纯债券型基金,3045084101.9,A,纯债基金
2317,007086.OF,007086,永赢汇利六个月定开债,永赢基金,钱布克,中长期纯债券型基金,5651018125.15,,纯债基金
2328,007104.OF,007104,易方达恒利3个月定期开放债券发起式,易方达基金,"刘琬姝,纪玲云,胡剑",中长期纯债券型基金,1197080950.13,,纯债基金
2329,007105.OF,007105,国泰丰鑫纯债债券,国泰基金,刘嵩扬,中长期纯债券型基金,1583582709.77,,纯债基金
2334,007121.OF,007121,中加裕盈纯债债券,中加基金,王霈,中长期纯债券型基金,1141324835.88,,纯债基金
2342,007145.OF,007145,泰康安和纯债6个月定开债券,泰康基金,经惠云,中长期纯债券型基金,2213722549.84,,纯债基金
2349,007158.OF,007158,平安合盛定开债,平安基金,张璐,中长期纯债券型基金,989414959.43,,纯债基金
2353,007167.OF,007167,华安安和债券A,华安基金,康钊,中长期纯债券型基金,1013187470.25,A,纯债基金
2361,007175.OF,007175,国联聚通定期开放债券,国联基金,"王玥,石霄蒙",中长期纯债券型基金,501900352.26,,纯债基金
2366,007184.OF,007184,蜂巢添鑫纯债A,蜂巢基金,"李海涛,廖新昌",中长期纯债券型基金,2392077497.14,A,纯债基金
2377,007199.OF,007199,永赢泰利债券A,永赢基金,"刘星宇,陶毅,杨野",中长期纯债券型基金,571637422.79,A,纯债基金
2379,007201.OF,007201,民生加银聚益纯债,民生加银基金,"李文君,刘昊",中长期纯债券型基金,6132155887.22,,纯债基金
2388,007213.OF,007213,华安安平定开,华安基金,康钊,中长期纯债券型基金,815729302.59,,纯债基金
