,thscode,ths_jjggbl_fund
687,009851.OF,136.42908498969
688,009866.OF,177.40777350213
689,009920.OF,116.80530524149
690,009922.OF,119.7430083456
691,009933.OF,159.591035528
692,009953.OF,129.62743903446
693,010048.OF,133.54980103
694,010083.OF,113.44234866725
695,010084.OF,111.70993914414
696,010092.OF,115.42941996925
697,010168.OF,115.97455842275
698,010191.OF,112.64251705519
699,010232.OF,107.45894401652
700,010254.OF,101.26893319853
701,010258.OF,111.2892211795
702,010462.OF,149.59127990636
703,010471.OF,151.37599407793
704,010477.OF,100.96934816988
705,010479.OF,118.25804034069
706,010482.OF,148.36423690435
707,010485.OF,176.76055021358
708,010580.OF,161.13628479591
709,010621.OF,169.62618626504
710,010627.OF,187.15516435436
711,010632.OF,131.85225306542
712,010634.OF,102.90147772383
713,010639.OF,166.45375111809
714,010653.OF,109.60719517394
715,010753.OF,103.04380659444
716,010836.OF,109.55383129335
717,010946.OF,101.93451486973
718,010983.OF,183.34448569786
719,011067.OF,129.1368609185
720,011079.OF,128.42244402806
721,011080.OF,108.65472551859
722,011088.OF,123.3249978019
723,011262.OF,115.57103276362
724,011292.OF,103.72380603508
725,011294.OF,117.81111145724
726,011529.OF,114.604830761
727,011617.OF,103.5033875331
728,011655.OF,100.03568677276
729,011683.OF,136.59952578322
730,011699.OF,116.37488879317
731,011719.OF,141.31555356893
732,011890.OF,118.42603083405
733,011943.OF,151.89175081996
734,011946.OF,107.42405530589
735,011952.OF,107.7086362054
736,011953.OF,132.33607632733
737,011955.OF,119.74439386489
738,011960.OF,140.89769884562
739,011961.OF,123.57540045204
740,011968.OF,117.20589446464
741,012101.OF,125.93857990675
742,012229.OF,113.15926144838
743,012242.OF,100.02700152554
744,012265.OF,112.32576097657
745,012273.OF,117.65265469818
746,012279.OF,133.70738846478
747,012290.OF,107.79280712351
748,012352.OF,111.76151185999
749,012356.OF,139.81464400867
750,012395.OF,112.26305490058
751,012451.OF,114.5288597115
752,012452.OF,112.79769100548
753,012465.OF,124.01765018339
754,012468.OF,100.27604629803
755,012489.OF,133.36934932677
756,012567.OF,100.63111517155
757,012580.OF,135.03414293325
758,012591.OF,113.90057511391
759,012742.OF,100.19617523372
760,012750.OF,117.95859216025
761,012773.OF,109.52710283823
762,012803.OF,134.99048246145
763,012806.OF,111.06056768913
764,012823.OF,114.28491956808
765,012933.OF,109.71715226523
766,012941.OF,118.31789079143
767,012948.OF,139.32688113456
768,013008.OF,149.53958972768
769,013062.OF,107.6897148529
770,013065.OF,110.05084918925
771,013068.OF,104.10327657491
772,013075.OF,111.16926111244
773,013077.OF,130.92717335387
774,013087.OF,102.35534462312
775,013159.OF,129.54707086136
776,013206.OF,118.12357601168
777,013213.OF,100.04047618604
778,013216.OF,117.8308036974
779,013236.OF,102.54652934825
780,013265.OF,128.46327046623
781,013336.OF,100.30842998859
782,013351.OF,
783,013373.OF,100.13006817893
784,013375.OF,114.70292606467
785,013391.OF,116.62235483649
786,013405.OF,
787,013408.OF,106.65502072798
788,013419.OF,134.45377126664
789,013456.OF,102.95168068399
790,013457.OF,103.63566953841
791,013459.OF,100.0859149479
792,013487.OF,166.48406766543
793,013494.OF,124.24774165882
794,013522.OF,134.48737394336
795,013538.OF,102.05650472158
796,013563.OF,133.48254466305
797,013648.OF,131.5908573315
798,013654.OF,161.93518778166
799,013699.OF,100.05339908411
800,013703.OF,109.81484406911
801,013718.OF,105.75132130309
802,013723.OF,
803,013728.OF,121.20970295134
804,013780.OF,128.36123001558
805,013799.OF,110.54868001186
806,013804.OF,130.50673859793
807,013808.OF,118.59191795948
808,013821.OF,137.36666154035
809,013838.OF,125.07803530584
810,013864.OF,100.07978047121
811,013875.OF,116.11161054215
812,013901.OF,122.3618971799
813,013931.OF,119.56568092625
814,013952.OF,100.0353222914
815,013976.OF,138.87822896896
816,014004.OF,128.22148158005
817,014012.OF,100.0441674442
818,014059.OF,
819,014097.OF,100.15963757281
820,014105.OF,116.32486750948
821,014230.OF,113.85620058912
822,014231.OF,141.03075199817
823,014234.OF,134.25704241004
824,014242.OF,109.23895544664
825,014248.OF,126.52948012813
826,014250.OF,100.44536509094
827,014252.OF,
828,014257.OF,113.14764742583
829,014315.OF,120.39896287102
830,014367.OF,110.73313503644
831,014392.OF,107.48576037104
832,014435.OF,100.93238663185
833,014446.OF,131.01605597754
834,014452.OF,
835,014464.OF,159.14754120982
836,014474.OF,
837,014476.OF,116.69473868222
838,014480.OF,100.03612519967
839,014504.OF,108.92768231841
840,014517.OF,136.51268552439
841,014552.OF,101.022720237
842,014638.OF,123.78425380104
843,014714.OF,123.1263487089
844,014721.OF,
845,014740.OF,100.06192349124
846,014778.OF,
847,014815.OF,
848,014856.OF,
849,014858.OF,
850,014952.OF,
851,014959.OF,
852,014965.OF,
853,014966.OF,
854,014973.OF,122.68567329876
855,015018.OF,
856,015049.OF,101.26214652283
857,015081.OF,123.5242685453
858,015209.OF,100.03622127771
859,015255.OF,
860,015260.OF,
861,015263.OF,
862,015301.OF,120.40580705922
863,015315.OF,
864,015397.OF,
865,015423.OF,119.62555318506
866,015469.OF,
867,015471.OF,107.70279966468
868,015473.OF,160.91034875917
869,015487.OF,
870,015492.OF,
871,015516.OF,
872,015530.OF,
873,015552.OF,
874,015569.OF,
875,015581.OF,
876,015622.OF,
877,015624.OF,
878,015629.OF,
