,thscode,Xstyle20230630,Ystyle20230630,Xstyle20221231,Ystyle20221231,Xstyle20220630,Ystyle20220630,Xstyle20211231,Ystyle20211231,Xstyle20210630,Ystyle20210630,Xstyle20201231,Ystyle20201231,大小盘标签
26,001102.OF,成长型,大盘,成长型,大盘,成长型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,稳定大盘
27,050009.OF,成长型,中盘,成长型,中盘,成长-均衡型,大盘,成长型,大盘,成长型,大盘,成长-均衡型,大盘,风格轮动基金
28,519664.OF,成长型,大盘,成长-均衡型,大盘,均衡型,大盘,均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,稳定大盘
29,519035.OF,成长型,中盘,成长-均衡型,中盘,均衡型,中盘,成长-均衡型,中盘,成长-均衡型,大盘,成长-均衡型,大盘,风格轮动基金
30,519026.OF,成长型,小盘,成长型,小盘,成长型,中盘,成长型,中盘,成长-均衡型,中盘,成长型,大盘,风格轮动基金
31,162605.SZ,成长型,大盘,成长型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,稳定大盘
32,519692.OF,成长型,小盘,成长-均衡型,中盘,均衡型,中盘,均衡型,中盘,成长-均衡型,中盘,均衡型,中盘,风格轮动基金
33,001230.OF,成长型,小盘,成长型,中盘,均衡-价值型,中盘,成长-均衡型,大盘,均衡型,大盘,成长型,大盘,风格轮动基金
34,519915.OF,成长型,大盘,成长型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,稳定大盘
35,519694.OF,成长型,小盘,成长-均衡型,中盘,均衡型,中盘,均衡型,中盘,成长-均衡型,中盘,均衡型,中盘,风格轮动基金
36,202007.OF,成长型,大盘,成长-均衡型,大盘,均衡型,大盘,均衡型,大盘,成长-均衡型,大盘,均衡型,大盘,稳定大盘
37,260104.OF,成长型,大盘,成长型,大盘,均衡型,大盘,成长-均衡型,大盘,均衡型,大盘,均衡型,大盘,稳定大盘
38,260109.OF,成长型,大盘,成长型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,稳定大盘
39,000117.OF,成长型,大盘,成长型,大盘,成长-均衡型,大盘,成长型,大盘,均衡型,大盘,均衡型,大盘,稳定大盘
40,570001.OF,成长型,大盘,成长型,大盘,成长-均衡型,大盘,均衡型,大盘,均衡型,大盘,成长-均衡型,大盘,稳定大盘
41,610006.OF,成长型,小盘,成长型,中盘,成长型,大盘,成长型,中盘,成长型,中盘,成长型,中盘,风格轮动基金
42,530001.OF,成长型,中盘,均衡型,中盘,成长-均衡型,中盘,成长型,中盘,成长型,大盘,成长型,大盘,风格轮动基金
43,002692.OF,成长型,中盘,均衡型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,成长型,大盘,成长型,大盘,风格轮动基金
44,690004.OF,成长型,中盘,成长型,大盘,成长型,大盘,成长-均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,风格轮动基金
45,000513.OF,成长型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,成长-均衡型,大盘,风格轮动基金
46,320012.OF,成长型,中盘,成长-均衡型,大盘,均衡型,大盘,均衡型,中盘,均衡型,大盘,成长型,大盘,风格轮动基金
47,519005.OF,成长型,小盘,成长型,中盘,成长型,中盘,成长型,中盘,成长型,中盘,成长型,中盘,风格轮动基金
48,501038.SH,成长型,中盘,成长型,大盘,均衡型,大盘,均衡型,大盘,成长-均衡型,大盘,均衡-价值型,大盘,风格轮动基金
49,110015.OF,成长型,大盘,成长型,大盘,成长-均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡-价值型,大盘,稳定大盘
50,270041.OF,成长型,大盘,成长-均衡型,大盘,均衡型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,均衡-价值型,大盘,稳定大盘
51,160133.SZ,成长型,大盘,成长-均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,均衡型,大盘,稳定大盘
52,000940.OF,成长型,中盘,成长-均衡型,小盘,成长型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,均衡型,中盘,风格轮动基金
53,020023.OF,成长型,小盘,成长-均衡型,小盘,成长-均衡型,中盘,成长-均衡型,中盘,成长型,中盘,成长型,大盘,风格轮动基金
54,000592.OF,成长型,中盘,均衡型,中盘,成长-均衡型,中盘,成长-均衡型,中盘,成长型,中盘,成长型,大盘,风格轮动基金
55,202212.OF,成长型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,成长-均衡型,大盘,均衡型,大盘,稳定大盘
