jydm,FrawX,FrawY,Xstyle,Ystyle
630002.OF,158.52418174584037,128.3932169516314,价值型,中盘
240004.OF,158.50724414780595,201.07140663485694,价值型,大盘
217009.OF,158.16709573543193,178.58901465260013,价值型,中盘
000925.OF,158.03496493249224,208.97856290103815,价值型,大盘
001832.OF,157.9970285529399,285.099665131723,价值型,大盘
481008.OF,157.77993979953666,244.26518002959557,价值型,大盘
001974.OF,157.14571891926784,241.5287280111482,价值型,大盘
003715.OF,156.89106217523366,203.61696093713326,价值型,大盘
519003.OF,156.81809585552617,157.16920943978096,价值型,中盘
519002.OF,155.33314654058117,182.03367399670952,价值型,中盘
290012.OF,155.30663006724316,-13.58398093962597,价值型,小盘
000408.OF,154.96354124841227,182.7916331253468,价值型,中盘
519133.OF,154.88782580096458,152.53207056304595,价值型,中盘
688888.OF,154.8132862891068,118.86935461239322,价值型,中盘
001955.OF,154.7452923556806,99.81581379313775,价值型,小盘
001291.OF,154.7086002043846,262.50225578238894,价值型,大盘
000520.OF,154.66699681439923,277.5128850658649,价值型,大盘
161606.OF,154.648568079103,190.1280645387715,价值型,中盘
001651.OF,154.52710055044608,242.2933173167467,价值型,大盘
002545.OF,154.5185200978603,322.7668612929479,价值型,大盘
003378.OF,154.46955547480022,160.438831856394,价值型,中盘
519139.OF,154.04661686513015,84.85960939419125,价值型,小盘
690005.OF,153.76195777326924,178.67347611440798,价值型,中盘
000877.OF,153.64154374512137,226.88920640871987,价值型,大盘
121003.OF,153.42694214882982,262.3347126627403,价值型,大盘
000619.OF,153.24747547866897,159.50507184932144,价值型,中盘
005258.OF,152.12232999883085,207.9968787095896,价值型,大盘
000652.OF,151.83389171527847,152.66135765575206,价值型,中盘
519908.OF,151.73508208279534,157.47347594196336,价值型,中盘
005244.OF,151.18141589745605,14.05642046718114,价值型,小盘
001074.OF,151.12914676428684,235.65505767666988,价值型,大盘
000172.OF,149.759035270678,222.72344341743232,价值型,大盘
660006.OF,149.55822586452734,284.50854670104934,价值型,大盘
002340.OF,148.96844892357603,169.39844619680858,价值型,中盘
700001.OF,147.47345904292476,127.98650072382512,价值型,中盘
168102.SZ,146.87347143256082,244.36658513420704,价值型,大盘
000978.OF,146.72441341460163,62.04245148928765,价值型,小盘
001637.OF,145.859524661895,60.132401269670204,价值型,小盘
450002.OF,145.6703188860154,285.8076860741454,价值型,大盘
001044.OF,145.66806736839987,120.82972436873409,价值型,中盘
519193.OF,145.44930229834793,215.05735540025307,价值型,大盘
270008.OF,145.17143062221905,276.5209865509319,价值型,大盘
090004.OF,144.14173976794817,213.4554264295355,价值型,大盘
001607.OF,143.52540230660696,77.41727623143377,价值型,小盘
001186.OF,141.51636875528814,128.62593034600414,价值型,中盘
750001.OF,139.24583245159062,186.63829052448455,价值型,中盘
240022.OF,136.19776045550392,195.26357813497904,价值型,中盘
460009.OF,135.60668729886856,64.43234615850926,价值型,小盘
001837.OF,134.92921081778502,226.1338083220926,价值型,大盘
210009.OF,134.114524630783,-54.6787639096637,价值型,小盘
160613.SZ,131.45040959841666,207.3603408719085,价值型,大盘
