,thscode,杠杆比例标签20230630,杠杆比例标签20230331,杠杆比例标签20221231,杠杆比例标签20220930,杠杆比例标签20220630,杠杆比例标签20220331,lever
405,012823.OF,中,中,中,中,中,中,稳定中
406,004555.OF,中,中,中,中,中,中,稳定中
407,004479.OF,中,中,中,中,中,中,稳定中
408,007017.OF,中,中,中,中,中,中,稳定中
409,002568.OF,中,中,中,中,中,中,稳定中
410,009290.OF,中,中,中,中,中,中,稳定中
411,004122.OF,中,中,中,中,中,中,稳定中
412,004459.OF,中,中,中,中,中,中,稳定中
413,002868.OF,中,中,中,中,中,中,稳定中
414,003268.OF,中,中,中,中,中,中,稳定中
415,008648.OF,中,中,中,中,中,中,稳定中
416,016871.OF,中,中,中,中,中,中,稳定中
417,005073.OF,中,中,中,中,中,中,稳定中
418,003660.OF,中,中,中,中,中,中,稳定中
419,001368.OF,中,中,中,中,中,中,稳定中
420,270048.OF,中,中,中,中,中,中,稳定中
421,007053.OF,中,中,中,中,中,中,稳定中
422,202108.OF,中,中,中,中,中,中,稳定中
423,005531.OF,中,中,中,中,中,中,稳定中
424,011953.OF,中,中,中,中,中,中,稳定中
425,002341.OF,中,中,中,中,中,中,稳定中
426,005590.OF,中,中,中,中,中,中,稳定中
427,485120.OF,中,中,中,中,中,中,稳定中
428,007427.OF,中,中,中,中,中,中,稳定中
429,007295.OF,中,中,中,中,中,中,稳定中
430,008902.OF,中,中,中,中,中,中,稳定中
431,519680.OF,中,中,中,中,中,中,稳定中
432,006995.OF,中,中,中,中,中,中,稳定中
433,004601.OF,中,中,中,中,中,中,稳定中
434,018252.OF,中,中,中,中,中,中,稳定中
435,002904.OF,中,中,中,中,中,中,稳定中
436,004307.OF,中,中,中,中,中,中,稳定中
437,007517.OF,中,中,中,中,中,中,稳定中
438,013336.OF,中,中,中,中,中,中,稳定中
439,005469.OF,中,中,中,中,中,中,稳定中
440,000244.OF,中,中,中,中,中,中,稳定中
441,004388.OF,中,中,中,中,中,中,稳定中
442,012750.OF,中,中,中,中,中,中,稳定中
443,017328.OF,中,中,中,中,中,中,稳定中
444,003571.OF,中,中,中,中,中,中,稳定中
445,014959.OF,中,中,中,中,中,中,稳定中
446,006998.OF,中,中,中,中,中,中,稳定中
447,006919.OF,中,中,中,中,中,中,稳定中
448,519718.OF,中,中,中,中,中,中,稳定中
449,004322.OF,中,中,中,中,中,中,稳定中
450,650001.OF,中,中,中,中,中,中,稳定中
451,002927.OF,中,中,中,中,中,中,稳定中
452,005862.OF,中,中,中,中,中,中,稳定中
453,005931.OF,中,中,中,中,中,中,稳定中
454,005622.OF,中,中,中,中,中,中,稳定中
455,000137.OF,中,中,中,中,中,中,稳定中
456,001785.OF,中,中,中,中,中,中,稳定中
457,008204.OF,中,中,中,中,中,中,稳定中
458,005393.OF,中,中,中,中,中,中,稳定中
459,005853.OF,中,中,中,中,中,中,稳定中
460,003209.OF,中,中,中,中,中,中,稳定中
461,001911.OF,中,中,中,中,中,中,稳定中
462,006944.OF,中,中,中,中,中,中,稳定中
463,007985.OF,中,中,中,中,中,中,稳定中
464,009338.OF,中,中,中,中,中,中,稳定中
465,005864.OF,中,中,中,中,中,中,稳定中
466,006884.OF,中,中,中,中,中,中,稳定中
467,011617.OF,中,中,中,中,中,中,稳定中
468,006885.OF,中,中,中,中,中,中,稳定中
469,007373.OF,中,中,中,中,中,中,稳定中
470,004954.OF,中,中,中,中,中,中,稳定中
471,005594.OF,中,中,中,中,中,中,稳定中
472,004031.OF,中,中,中,中,中,中,稳定中
473,007595.OF,中,中,中,中,中,中,稳定中
474,007542.OF,中,中,中,中,中,中,稳定中
475,015581.OF,中,中,中,中,中,中,稳定中
476,003285.OF,中,中,中,中,中,中,稳定中
477,013494.OF,中,中,中,中,中,中,稳定中
478,006852.OF,中,中,中,中,中,中,稳定中
479,013728.OF,中,中,中,中,中,中,稳定中
480,005836.OF,中,中,中,中,中,中,稳定中
481,003607.OF,中,中,中,中,中,中,稳定中
482,016191.OF,中,中,中,中,中,中,稳定中
483,011655.OF,中,中,中,中,中,中,稳定中
484,004366.OF,中,中,中,中,中,中,稳定中
485,519746.OF,中,中,中,中,中,中,稳定中
486,006646.OF,中,中,中,中,中,中,稳定中
487,003193.OF,中,中,中,中,中,中,稳定中
488,014248.OF,中,中,中,中,中,中,稳定中
489,005842.OF,中,中,中,中,中,中,稳定中
490,008569.OF,中,中,中,中,中,中,稳定中
491,016411.OF,中,中,中,中,中,中,稳定中
492,009021.OF,中,中,中,中,中,中,稳定中
493,008762.OF,中,中,中,中,中,中,稳定中
494,006955.OF,中,中,中,中,中,中,稳定中
495,005972.OF,中,中,中,中,中,中,稳定中
496,002524.OF,中,中,中,中,中,中,稳定中
497,519225.OF,中,中,中,中,中,中,稳定中
498,005709.OF,中,中,中,中,中,中,稳定中
499,005631.OF,中,中,中,中,中,中,稳定中
500,004032.OF,中,中,中,中,中,中,稳定中
501,006116.OF,中,中,中,中,中,中,稳定中
502,008650.OF,中,中,中,中,中,中,稳定中
503,006504.OF,中,中,中,中,中,中,稳定中
504,004230.OF,中,中,中,中,中,中,稳定中
505,010254.OF,中,中,中,中,中,中,稳定中
506,005336.OF,中,中,中,中,中,中,稳定中
507,011961.OF,中,中,中,中,中,中,稳定中
508,010836.OF,中,中,中,中,中,中,稳定中
509,017671.OF,中,中,中,中,中,中,稳定中
510,050106.OF,中,中,中,中,中,中,稳定中
511,005364.OF,中,中,中,中,中,中,稳定中
512,008761.OF,中,中,中,中,中,中,稳定中
513,100066.OF,中,中,中,中,中,中,稳定中
514,001619.OF,中,中,中,中,中,中,稳定中
515,040040.OF,中,中,中,中,中,中,稳定中
516,070037.OF,中,中,中,中,中,中,稳定中
